targetSize,noiseContrast,noiseDecayRadius,eccentricity,hardOrSoft,targetCross,noiseSpectrum,noiseCheckDeg,targetKind,meanThreshold,sdThreshold,squaredNoiseContrast,meanSquaredThreshold,sdSquaredThreshold,meanEnergy,sdEnergy,energyAtUnitContrast,noisePowerSpectralDensity,meanNeq,sdNeq,meanEfficiency,sdEfficiency
0.5,0,0.25471875,0,hard,1,white,0.05094375,letter,0.184801756575631,0.00472704008902927,0,0.0341628616874406,0.00174713062371208,5.98440448945997e-05,7.03386812151569e-06,0.142162885820313,0,0,0,0,0
0.5,0,16.582190625,0,hard,1,white,0.025471875,gabor,0.299797397813165,0.00558268421577127,0,0.0898940629170718,0.00334734840140172,4.97088881593773e-05,4.25782821532708e-06,0.012738143609133,0,0,0,0,0
0.5,0,Inf,0,soft,1,white,0.025471875,letter,0.219323216716523,0.0224261550339464,0,0.0483541396056862,0.00983715292125714,0.000136415669261873,6.2063795041643e-05,0.141514069404297,0,0,0,0,0
0.5,0,0.25471875,4,hard,1,white,0.05094375,letter,0.267384871949402,0.0194374034040386,0,0.0716835760729435,0.0103945352404354,0.00033426061248524,0.000109949619114984,0.142162885820313,0,0,0,0,0
0.5,0,0.25471875,8,hard,1,white,0.05094375,letter,0.347123098492577,0.0237872490673737,0,0.120777362116184,0.0165142072017628,0.00110923808949002,0.000344615217085166,0.142162885820313,0,0,0,0,0
0.5,0.16,0.25471875,0,hard,1,white,0.05094375,letter,0.575164997153854,0.0172247335206625,0.0256,0.330963119673421,0.0198141276127755,0.0111738664155504,0.00153638504799244,0.142162885820313,6.6438801e-05,3.6119444807265e-07,4.99309548720978e-08,0.0804863801171461,0.0111263111459549
0.5,0.16,16.582190625,0,hard,1,white,0.025471875,gabor,0.492255995129355,0.0220678936466328,0.0256,0.242559460705791,0.021726105894864,0.000491136638938601,0.000100714397031218,0.012738143609133,1.660970025e-05,1.92039052650795e-06,4.38148651960134e-07,0.0371757668089092,0.00848187485205262
0.5,0.16,Inf,0,soft,1,white,0.025471875,letter,0.37372787988562,0.00183183517469434,0.0256,0.139674206013854,0.00136921575227683,0.00152190745425403,3.435023295691e-05,0.141514069404297,1.660970025e-05,1.63589564114406e-06,4.05584478920675e-08,0.142157576941707,0.0035244856284479
0.5,0.16,0.25471875,4,hard,1,white,0.05094375,letter,0.492127591922082,0.000143679521469065,0.0256,0.24218957705293,0.000141417313818175,0.00542940024980361,7.29986075498802e-06,0.142162885820313,6.6438801e-05,4.35864346975223e-06,6.24467486166371e-09,0.181046035130201,0.000259386580303559
0.5,0.16,0.25471875,8,hard,1,white,0.05094375,letter,0.564291030396249,0.0101002833481708,0.0256,0.318475374847516,0.0113989985956668,0.0102092323282387,0.000840622313472693,0.142162885820313,6.6438801e-05,8.13321777182543e-06,7.5131523822473e-07,0.110585494656,0.0102154607920974
1,0,16.6076625,0,hard,1,white,0.05094375,gabor,0.225269769031655,0.00192367418394293,0,0.050748319100758,0.000866691278217959,5.32579344254084e-05,2.09388083877246e-06,0.0509525744365321,0,0,0,0,0
1,0,Inf,0,soft,1,white,0.05094375,letter,0.196568664482606,0.000505682795065688,0,0.0386393677140201,0.000198802783355789,0.000315779983877254,3.74097230903963e-06,0.566056277617188,0,0,0,0,0
1,0,16.6076625,16,hard,1,white,0.05094375,gabor,0.46401639231098,0.0113657758321812,0,0.215375802763431,0.0105478125949281,0.0014879063739067,0.000167498404127073,0.0509525744365321,0,0,0,0,0
1,0,Inf,16,soft,1,white,0.05094375,letter,0.328341375793639,0.00648057897053755,0,0.107829058009956,0.00425568443025125,0.00335860125547163,0.000304875848804077,0.566056277617188,0,0,0,0,0
1,0.16,16.6076625,0,hard,1,white,0.05094375,gabor,0.497666065375751,0.0248617803162859,0.0256,0.247980566686828,0.0247457287764846,0.00207010150779176,0.000472282210846568,0.0509525744365321,6.6438801e-05,1.80387925309234e-06,4.22412572299156e-07,0.0345408951424976,0.00808840632855319
1,0.16,Inf,0,soft,1,white,0.05094375,letter,0.352045274405337,0.0233794976635789,0.0256,0.12420917568663,0.0164612833408672,0.00470709295396746,0.00141855988565595,0.566056277617188,6.6438801e-05,5.04062758115196e-06,1.62831302024148e-06,0.194934610663212,0.0629712391023482
1,0.16,16.6076625,16,hard,1,white,0.05094375,gabor,0.657667607590557,0.0763135353451534,0.0256,0.435438559912325,0.100377880434449,0.00781134379765643,0.00399438515125741,0.0509525744365321,6.6438801e-05,1.9529357067744e-05,1.23362925348193e-05,0.013893905971677,0.00877649417353196
1,0.16,Inf,16,soft,1,white,0.05094375,letter,0.45696947716057,0.0111702028286074,0.0256,0.208883489772021,0.0102088834927325,0.0154048721652266,0.00173063251437625,0.566056277617188,6.6438801e-05,1.87168499214789e-05,2.68896401911244e-06,0.0700867270928279,0.0100690387624305
2,0,1,0,soft,1,pink,0.203775,letter,0.177295870077725,0.000220249813911221,0,0.0314338498016078,7.80987647836937e-05,0.000788929646059574,4.51334605822679e-06,2.274606173125,0,0,0,0,0
2,0,1,32,soft,1,pink,0.203775,letter,0.344296608252136,0.00428134212281976,0,0.118549319399111,0.0029481031433077,0.0167757268460056,0.000960169983419476,2.274606173125,0,0,0,0,0
2,0,16.6076625,0,hard,1,white,0.1018875,gabor,0.197792240095812,0.00452340056750439,0,0.0391320008184663,0.00178938706219472,0.000117244310682656,1.23261987733225e-05,0.203810297746128,0,0,0,0,0
2,0,Inf,0,soft,0,white,0.203775,letter,0.160785284311327,0.00445632816888491,0,0.0258618370814487,0.00143302398323747,0.000504566040651416,6.42351761871719e-05,2.274606173125,0,0,0,0,0
2,0,Inf,0,soft,1,white,0.203775,letter,0.165846360574298,0.0170903924487893,0,0.0276510560727669,0.00566875877683634,0.000605738799796675,0.000277591818072639,2.274606173125,0,0,0,0,0
2,0,Inf,4,soft,1,white,0.203775,letter,0.1778672839804,0.000205234229050579,0,0.0316367917711085,7.30089098020748e-05,0.000800706600583024,4.25471884043644e-06,2.274606173125,0,0,0,0,0
2,0,1.018875,8,hard,1,white,0.203775,letter,0.185863445420923,0.0113061691397674,0,0.034609135074045,0.00420280710165779,0.000995505960375931,0.000275450394087923,2.274606173125,0,0,0,0,0
2,0,16.6076625,16,hard,1,white,0.1018875,gabor,0.323658267571092,0,0,0.104754674167121,0,0.00113003533700173,0,0.203810297746128,0,0,0,0,0
2,0,Inf,16,soft,1,white,0.1018875,letter,0.263168664184989,0.00364773258514629,0,0.0692643987854179,0.00191993782347401,0.0048455770684505,0.000309100078954268,2.26422511046875,0,0,0,0,0
2,0,16.6076625,32,hard,1,white,0.1018875,gabor,0.608463168310303,0.0255010726953864,0,0.370552579544519,0.0310329269750923,0.0208326274385077,0.00399719041564536,0.203810297746128,0,0,0,0,0
2,0,Inf,32,soft,0,white,0.203775,letter,0.30941480394632,0.00104926397311039,0,0.0957380713785826,0.000649315613055778,0.0102513710415438,0.000160086419038776,2.274606173125,0,0,0,0,0
2,0,Inf,32,soft,1,white,0.203775,letter,0.333597634432721,0.000832847615134031,0,0.111287728516682,0.000555671988503294,0.0144969970129848,0.000166669910201601,2.274606173125,0,0,0,0,0
