observer,trials,letter_size,noise_contrast,noise_decay_radius,eccentricity,p_accuracy,threshold_log_contrast,threshold_contrast_SD,contrast,log_E_by_N,efficiency,file_name
shivam,100,2.030625,0.1,Inf,2,0.78,-0.878694698082281,0.019062036333514,-0.132222480996651,4.60557388312128,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.17.25.56.mat
shivam,100,2.030625,0.1,8,8,0.73,-0.789988402269117,0.0183102747596287,-0.162185340799028,5.0140814719095,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.17.29.15.mat
shivam,100,2.030625,0.1,8,0,0.66,-0.694800267311594,0.0200903523110724,-0.201929482690624,5.48866797137216,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.17.32.21.mat
shivam,100,2.030625,0.1,0.5,2,0.88,-1.59159502824369,0.0260327594217513,-0.0256097283472931,1.3225465370809,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.17.35.51.mat
shivam,100,2.030625,0.1,8,0,0.75,-0.831314427257064,0.0180949560872567,-0.147463851503129,4.82376809372961,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.17.39.16.mat
shivam,100,2.030625,0.1,8,32,0.62,-0.54408639800255,0.0195490628086091,-0.285702211441957,6.14650205063261,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.17.4.34.mat
shivam,100,2.030625,0.1,0.5,2,0.78,-1.53129173922968,0.0186593145946665,-0.0294244436979921,1.60025344576523,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.17.43.15.mat
shivam,100,2.030625,0.1,Inf,0,0.75,-0.808244377916402,0.0184254302763352,-0.155509033455844,4.9300095971425,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.17.46.34.mat
shivam,100,2.030625,0.1,2,8,0.78,-0.821834816940163,0.0186711303462021,-0.150718021023849,4.86742331253579,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.17.49.53.mat
shivam,100,2.030625,0.1,2,0,0.76,-0.904642450031826,0.0182334477845871,-0.124553962912873,4.48608006944982,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.17.53.26.mat
shivam,100,2.030625,0.35,8,8,0.14,0.607666722877832,0.676869774621747,-4.05197468002499,9.05345774319478,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.17.57.23.mat
shivam,100,2.030625,0.1,Inf,8,0.76,-0.792915848107112,0.0180245042423652,-0.16109577552188,5.00060008561527,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.17.9.43.mat
shivam,100,2.030625,0.35,0.5,2,0.63,-1.60961634386976,0.019532472257015,-0.0245687836582282,-1.22600336493624,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.18.1.26.mat
shivam,100,2.030625,0.35,0.5,2,0.86,-1.52626597510089,0.0207728807058902,-0.0297669285417494,-0.882127992097783,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.20.27.60.mat
shivam,100,2.030625,0.35,8,0,0.07,0.786334177029881,0.612847304950808,-6.11412308016807,9.76778928060636,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.20.32.27.mat
shivam,100,2.030625,0.35,2,0,0.14,0.607666722877832,0.676869774621747,-4.05197468002499,8.94499524753895,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.20.36.30.mat
shivam,100,2.030625,0.35,8,2,0.12,0.685161788790363,0.653378514600759,-4.84352771106757,9.30187321464052,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.20.40.55.mat
shivam,100,2.030625,0.35,Inf,0,0.09,0.762076164897576,0.622999965277316,-5.78197440560043,9.65607700636333,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.20.44.50.mat
shivam,100,2.030625,0.35,0.5,0,0.83,-1.55963790757698,0.0186936222110645,-0.0275652599525535,-1.03581142058548,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.20.48.15.mat
shivam,100,2.030625,0.35,Inf,2,0.14,0.613324671429258,0.674153435046945,-4.1051087950009,8.97105106352183,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.20.51.36.mat
shivam,100,2.030625,0.35,Inf,8,0.05,0.814454498193355,0.600328771796873,-6.52310693664249,9.8972881452488,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.20.55.29.mat
shivam,100,2.030625,0.35,Inf,2,0.12,0.696438760934927,0.648075168277421,-4.97094274434911,9.35380559054889,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.20.59.26.mat
shivam,100,2.030625,0.35,2,8,0.11,0.72523736754774,0.637413427902438,-5.31174683198857,9.48642807512021,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.21.11.30.mat
shivam,100,2.030625,0.35,2,0,0.14,0.607666722877832,0.676869774621747,-4.05197468002499,8.94499524753895,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.21.15.15.mat
shivam,100,2.030625,0.35,Inf,8,0.06,0.79828400386622,0.607605840575494,-6.28469207545009,9.89581805296434,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.21.18.50.mat
shivam,100,2.030625,0.35,0.5,8,0.77,-1.23706091227445,0.0183409723592278,-0.0579347433951186,0.44971054086736,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.21.22.16.mat
shivam,100,2.030625,0.35,8,2,0.17,0.375194979752092,0.70311717458677,-2.37243859062855,7.87442330701161,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.21.28.5.mat
shivam,100,2.030625,0.35,2,2,0.21,-0.185018718306524,0.487609074992375,-0.653102403004924,5.29454388692994,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.21.3.33.mat
shivam,100,2.030625,0.35,0.5,8,0.8,-1.24699470505816,0.0189419305844549,-0.0566246192700406,0.403963734506003,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.21.31.43.mat
shivam,100,2.030625,0.35,2,2,0.2,-0.0537840380853841,0.586422980313978,-0.883519139367049,5.89890192365201,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.21.35.24.mat
shivam,100,2.030625,0.35,2,8,0.11,0.725237367547739,0.637413427902439,-5.31174683198855,9.48642807512021,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.21.39.21.mat
shivam,100,2.030625,0.35,8,32,0.05,0.814454498193354,0.600328771796876,-6.52310693664247,9.8972881452488,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.21.43.32.mat
shivam,100,2.030625,0,0.5,0,0.8,-1.57122288716694,0.0187330310384373,-0.026839666357174,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.21.52.22.mat
shivam,100,2.030625,0,2,0,0.72,-1.57281652116602,0.018503375162484,-0.0267413592730472,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.21.57.7.mat
shivam,100,2.030625,0.35,8,8,0.12,0.685161788790362,0.653378514600759,-4.84352771106757,9.42931816120864,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.21.7.40.mat
shivam,100,2.030625,0,Inf,0,0.71,-1.57512899261347,0.0187255483486045,-0.026599348979882,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.22.12.22.mat
shivam,100,2.030625,0,2,0,0.7,-1.57859910236803,0.0187515323215293,-0.0263876610930466,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.22.15.38.mat
shivam,100,2.030625,0,8,2,0.74,-1.5640733602932,0.018165933228613,-0.0272851684740369,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.22.18.51.mat
shivam,100,2.030625,0,0.5,2,0.74,-1.57188923968516,0.0182168902810402,-0.0267985169378413,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.22.2.14.mat
shivam,100,2.030625,0,8,0,0.54,-1.63204673292472,0.0230323351446646,-0.0233320698045173,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.22.22.27.mat
shivam,100,2.030625,0,2,2,0.74,-1.57419610048094,0.0181982589596197,-0.0266565474820357,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.22.5.50.mat
shivam,100,2.030625,0,Inf,8,0.78,-1.57101563859511,0.019253146361986,-0.0268524775030509,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.22.52.54.mat
shivam,100,2.030625,0,Inf,0,0.73,-1.57195921610036,0.0183196307354933,-0.0267941993304188,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.22.56.8.mat
shivam,100,2.030625,0,Inf,8,0.77,-1.57109065111408,0.0186348537312781,-0.0268478398709444,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.22.59.26.mat
shivam,100,2.030625,0,8,2,0.61,-1.56406928737218,0.0211056571076853,-0.0272854243622921,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.22.9.10.mat
shivam,100,2.030625,0,0.5,8,0.73,-1.56852971815508,0.0182257238222556,-0.0270066229951304,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.23.12.31.mat
shivam,100,2.030625,0,2,8,0.77,-1.57249938662309,0.0182794110513384,-0.0267608937277824,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.23.15.48.mat
shivam,100,2.030625,0,0.5,0,0.74,-1.5688301547578,0.0181966338722958,-0.0269879467913779,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.23.19.14.mat
shivam,100,2.030625,0,Inf,2,0.73,-1.56928884580407,0.018637682728618,-0.0269594578395214,Inf,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.23.2.42.mat
