observer,trials,letter_size,noise_contrast,noise_decay_radius,eccentricity,p_accuracy,threshold_log_contrast,threshold_contrast_SD,contrast,log_E_by_N,efficiency,file_date_time,energy_at_unit_contrast,noise_power_spectral_density,threshold_energy
xiuyun,80,5.985890625,0.16,5.19615242270663,32,0.6625,-0.560566219404414,0.0214948619187842,-0.275064016691708,5.08694468332982,NaN,10-Oct-2015 21:24:54,19.6273634235669,0.0091727069630625,6.39676405975067
xiuyun,80,2.03775,0.16,1.73205080756888,32,0.6875,-0.55682275748942,0.0206264370339904,-0.277445217184788,5.10418396253314,NaN,10-Oct-2015 21:30:31,2.274606173125,0.001063020816,0.746889082899057
xiuyun,80,3.438703125,0.16,9,32,0.675,-0.435566411816101,0.020826650486766,-0.36680359896505,5.66259007048977,NaN,10-Oct-2015 21:35:09,6.47729648518799,0.0030271178705625,2.71060102460795
xiuyun,80,5.985890625,0.16,9,32,0.6875,-0.370024184479203,0.0208330272947568,-0.426555764605565,5.96442318174491,NaN,10-Oct-2015 21:43:34,19.6273634235669,0.0091727069630625,9.36403527478559
xiuyun,80,5.985890625,0.16,Inf,0,0.6625,-0.470575943530581,0.0211391846025829,-0.338395092746575,5.50136521881284,NaN,10-Oct-2015 21:47:01,19.6273634235669,0.0091727069630625,7.6581680606939
xiuyun,80,2.03775,0.16,3,32,0.6875,-0.399433963253068,0.0206163942877549,-0.398626380931023,5.828986145359,NaN,10-Oct-2015 21:50:09,2.274606173125,0.001063020816,1.02320412239373
xiuyun,80,3.438703125,0.16,5.19615242270663,0,0.75,-0.534550651802942,0.0205826006602508,-0.29204471283427,5.20675079961968,NaN,10-Oct-2015 21:53:29,6.47729648518799,0.0030271178705625,2.22376545651394
xiuyun,80,2.03775,0.16,1.73205080756888,0,0.725,-0.715143404286833,0.0203463811008215,-0.192688854842966,4.37509044007534,NaN,10-Oct-2015 21:56:23,2.274606173125,0.001063020816,0.544177454676008
xiuyun,80,5.985890625,0.16,5.19615242270663,32,0.7125,-0.575431573874084,0.0211739804073894,-0.265808231597933,5.01848719612196,NaN,10-Oct-2015 22:00:06,19.6273634235669,0.0091727069630625,6.20938301716259
xiuyun,80,2.03775,0.16,Inf,0,0.775,-0.664411886748226,0.0202797038465332,-0.216564921953992,4.60871771213406,NaN,10-Oct-2015 22:17:40,2.274606173125,0.001063020816,0.602289623748849
xiuyun,80,3.438703125,0.16,3,32,0.6875,-0.554223541418922,0.0211186992000431,-0.279110682417062,5.11615379488794,NaN,10-Oct-2015 22:25:42,6.47729648518799,0.0030271178705625,2.13796861180693
xiuyun,80,3.438703125,0.16,1.73205080756888,32,0.6625,-0.870894315029865,0.0220026747590596,-0.13461879071916,3.65783098948103,NaN,10-Oct-2015 22:04:47,6.47729648518799,0.0030271178705625,1.13486600213704
xiuyun,80,5.985890625,0.16,3,32,0.7375,-0.834417213756986,0.021271247400127,-0.146414060890267,3.82581424873417,NaN,10-Oct-2015 22:50:15,19.6273634235669,0.0091727069630625,3.69910263121265
xiuyun,80,2.03775,0.16,9,0,0.6625,-0.574932343881654,0.0211156987604804,-0.266113959039829,5.02078623519905,NaN,10-Oct-2015 22:54:47,2.274606173125,0.001063020816,0.720321411975314
xiuyun,80,3.438703125,0.16,Inf,32,0.8,-0.499430217494214,0.0205660143887412,-0.316642920490241,5.36848637661719,NaN,10-Oct-2015 22:58:26,6.47729648518799,0.0030271178705625,2.38558118774684
xiuyun,80,5.985890625,0.16,9,0,0.5875,-0.539241106274552,0.023063903764568,-0.288907551561192,5.18515045852829,NaN,10-Oct-2015 22:09:08,19.6273634235669,0.0091727069630625,6.67548908721311
xiuyun,80,5.985890625,0.16,1,32,0.75,-1.38702778920836,0.0232805395305371,-0.0410177856089473,1.2809485022038,NaN,11-Oct-2015 14:11:30,19.6273634235669,0.0091727069630625,1.22491212560918
xiuyun,80,5.985890625,0.16,9,32,0.725,-0.433167055036153,0.0209643334655063,-0.368835695518034,5.67363951679834,NaN,11-Oct-2015 14:14:39,19.6273634235669,0.0091727069630625,8.25311393312906
xiuyun,80,3.438703125,0.16,1.73205080756888,0,0.7375,-0.90529493319887,0.020811761094548,-0.124366973787591,3.49941028830958,NaN,11-Oct-2015 14:17:26,6.47729648518799,0.0030271178705625,1.059411269646
xiuyun,80,5.985890625,0.16,9,0,0.6875,-0.534865134095682,0.020909634101148,-0.29183331331163,5.20530255514114,NaN,11-Oct-2015 14:20:19,19.6273634235669,0.0091727069630625,6.73416900338973
xiuyun,80,2.03775,0.16,5.19615242270663,0,0.6375,-0.670075597491247,0.0230903803950588,-0.21375899675644,4.58263536027824,NaN,11-Oct-2015 14:23:08,2.274606173125,0.001063020816,0.595505729873499
xiuyun,80,2.03775,0.16,1,32,0.825,-0.831672818628798,0.0215425004937298,-0.147342210603462,3.83845265535707,NaN,11-Oct-2015 14:25:43,2.274606173125,0.001063020816,0.431046756693656
xiuyun,80,3.438703125,0.16,9,32,0.775,-0.441837434248463,0.0202816716604168,-0.361545171435795,5.63371094494859,NaN,11-Oct-2015 14:29:00,6.47729648518799,0.0030271178705625,2.67681684913044
xiuyun,80,2.03775,0.16,3,32,0.6375,-0.397634735573495,0.0218782356848313,-0.400281265756099,5.83727189502677,NaN,11-Oct-2015 14:31:25,2.274606173125,0.001063020816,1.02689270937901
xiuyun,80,5.985890625,0.16,1.73205080756888,32,0.775,-1.19358923406457,0.0234314347832681,-0.0640340197974293,2.17176596917259,NaN,11-Oct-2015 14:34:01,19.6273634235669,0.0091727069630625,1.80353065282279
