condition,observer,trials,task,targetDurationSec,targetHeightDeg,contrast,guess,lapse,steepness
1,d,2,rate,0.99836913882835,14.993671875,0.542405330775306,0,0.02,3.5
2,d,1,rate,0.199685710137068,14.993671875,3.74596790949745,0,0.02,3.5
