letter_size,noise_contrast,noise_decay_radius,eccentricity,HardOrSoft,TargetCross,mean_threshold,sd_threshold,squared_noise_contrast,mean_squared_threshold,sd_squared_threshold,mean_Energy,sd_Energy,Energy_at_unit_contrast,Noise_power_spectral_density,mean_Neq,sd_Neq,mean_Efficiency,sd_Efficiency
2.03775,0,1,0,soft,1,0.177295870077725,0.000220249813911221,0,0.0314338498016078,7.80987647836937e-05,0.000788929646059574,4.51334605822679e-06,2.274606173125,0,0,0,0,0
2.03775,0,1,32,soft,1,0.344296608252136,0.00428134212281976,0,0.118549319399111,0.0029481031433077,0.0167757268460056,0.000960169983419476,2.274606173125,0,0,0,0,0
2.03775,0,Inf,0,soft,0,0.160785284311327,0.00445632816888491,0,0.0258618370814487,0.00143302398323747,0.000504566040651416,6.42351761871719e-05,2.274606173125,0,0,0,0,0
2.03775,0,Inf,32,soft,0,0.30941480394632,0.00104926397311039,0,0.0957380713785826,0.000649315613055778,0.0102513710415438,0.000160086419038776,2.274606173125,0,0,0,0,0
2.03775,0.16,1,0,soft,0,0.383795636628833,0.00919128549575751,0.0256,0.147341330559863,0.00705515053656323,0.0277107823416195,0.00305023218106909,2.274606173125,0.001063020816,1.98394559161017e-05,2.22430587997793e-06,0.177330671940418,0.0198814754782355
2.03775,0.16,1,32,soft,0,0.435019529177193,0.000425587119588019,0.0256,0.189242081327745,0.000370277416774123,0.0492242638794581,0.000221770224539166,2.274606173125,0.001063020816,0.000279619921694962,1.59114113180709e-06,0.118120988072675,0.000672152261229661
2.03775,0.16,1,32,soft,1,0.430495627615855,0.00817075102478832,0.0256,0.185359865982524,0.00703494518101828,0.0469806369882193,0.00410139255190969,2.274606173125,0.001063020816,0.000595892390163608,8.09136196482511e-05,0.153825171327704,0.0208872467757469
2.03775,0.16,1.73205080756888,0,soft,0,0.473424541345389,0.0221995088330375,0.0256,0.224377205444306,0.0210195845747474,0.073337782688963,0.0157204800418904,2.274606173125,0.001063020816,7.53991422802871e-06,1.6274315016408e-06,0.131699911656091,0.0284263956472711
2.03775,0.16,1.73205080756888,32,soft,0,0.549027187062138,0.0339406060609584,0.0256,0.302006834503256,0.0372686309456643,0.146059862302491,0.0410544471324259,2.274606173125,0.001063020816,8.40829732698713e-05,2.54179981589837e-05,0.0705611514053234,0.0213303971870717
2.03775,0.16,3,0,soft,0,0.528564560568015,0.0157197103902104,0.0256,0.279504049335835,0.016617763629316,0.121148282487543,0.0165431535802711,2.274606173125,0.001063020816,4.48804717712165e-06,6.15419152470403e-07,0.106471833930655,0.0145998478210285
2.03775,0.16,3,32,soft,0,0.671303492968686,0.000854063015831497,0.0256,0.450648744383776,0.00114667097148609,0.362945354133889,0.00212645191825105,2.274606173125,0.001063020816,3.08982273619137e-05,1.86290659875237e-07,0.0339677787948774,0.000204797506733145
2.03775,0.16,5.19615242270663,0,soft,0,0.515263270033489,0.00508179919231147,0.0256,0.26550914978712,0.00523692893896792,0.107380867353237,0.00487549442435844,2.274606173125,0.001063020816,5.02377860223301e-06,2.29175263960168e-07,0.134551229227616,0.00613797221491765
2.03775,0.16,5.19615242270663,32,soft,0,0.638649572278995,0.0351248292591394,0.0256,0.408490152987385,0.0448649143654442,0.292098211675708,0.0732372083103854,2.274606173125,0.001063020816,4.00152657769307e-05,1.03978683908841e-05,0.051283381550307,0.0133258605596218
2.03775,0.16,9,0,soft,0,0.543882402208888,0.0266728290761043,0.0256,0.296163787337972,0.0290137647032374,0.139052053920962,0.0311521701388926,2.274606173125,0.001063020816,3.97173746252633e-06,8.93038503062003e-07,0.104962538720402,0.0236006506826946
2.03775,0.16,9,32,soft,0,0.678618235883228,0.00854415295593204,0.0256,0.460559211348132,0.0115964360121421,0.381767335364678,0.0221236183469538,2.274606173125,0.001063020816,2.93844091071223e-05,1.7498291187059e-06,0.0364467348885138,0.0021703876282548
2.03775,0.16,1.018875,0,hard,1,0.518842288080408,0.0120336238094677,0.0256,0.269305925977004,0.0123588149055595,0.111178853774928,0.0114148537563567,2.274606173125,0.001063020816,7.66480174821427e-06,8.72970617535811e-07,0.147946697517997,0.0168501579215352
2.03775,0.16,1.6302,0,hard,1,0.542409156990868,0.0234071985373382,0.0256,0.294481642059228,0.025392557652311,0.137019375547611,0.0270606098724339,2.274606173125,0.001063020816,6.27999858326129e-06,1.2474494268622e-06,0.109873078139939,0.0218250221773257
2.03775,0.16,3.056625,0,hard,1,0.523860600866138,0.0328853123560511,0.0256,0.274970651024209,0.0344546389810231,0.117732850647769,0.0335904919602776,2.274606173125,0.001063020816,7.47993849937242e-06,2.14850683878531e-06,0.131364443009955,0.0377325835237537
2.03775,0.16,5.094375,0,hard,1,0.528242272602083,0.0460772945136768,0.0256,0.280101457098663,0.0486799495385203,0.124172797038691,0.0486389601368806,2.274606173125,0.001063020816,7.3696951620818e-06,2.90519592864428e-06,0.127568567855479,0.0502886043188833
2.03775,0.16,8.9661,0,hard,1,0.537994680211964,0.000898835253700061,0.0256,0.28943867988878,0.000967137169755208,0.130947747124989,0.0010074923314361,2.274606173125,0.001063020816,6.44346481458284e-06,4.98755406226821e-08,0.109901799662948,0.000850693195559898
2.03775,0.16,Inf,0,soft,0,0.53455359350318,0.028252487879078,0.0256,0.286146645862842,0.0302049378423324,0.128608127347975,0.0310112520811823,2.274606173125,0.001063020816,4.31334418392683e-06,1.04417240579095e-06,0.116791292682205,0.0282727832176821
2.03775,0.16,Inf,0,soft,1,0.542953344802039,0.0328767219603537,0.0256,0.295338774055151,0.0357010523090014,0.138677499374345,0.0381995929817859,2.274606173125,0.001063020816,6.32477873064068e-06,1.75216824488368e-06,0.109527059712922,0.0303425375270039
2.03775,0.16,1.018875,32,hard,1,0.529357054837839,0.0235585715169319,0.0256,0.280635146225529,0.0249791133068207,0.123044450885801,0.0251948989703725,2.274606173125,0.001063020816,0.000175084788296251,4.17101181170737e-05,0.149509396118909,0.0356173407890832
2.03775,0.16,1.6302,32,hard,1,0.687828228683713,0.018269065684402,0.0256,0.473274551554664,0.0251319581788173,0.407140104755671,0.0496816134580074,2.274606173125,0.001063020816,4.60558203330287e-05,5.8615170665149e-06,0.0374526667656824,0.0047665950545692
2.03775,0.16,3.056625,32,hard,1,0.820662433802489,0.0366661650054135,0.0256,0.674159034082727,0.0601810884230927,0.923005087098242,0.18864444661809,2.274606173125,0.001063020816,2.01139750661394e-05,4.1870081262715e-06,0.0162221771839882,0.00337687540487794
