targetSize,noiseContrast,noiseDecayRadius,eccentricity,hardOrSoft,targetCross,noiseSpectrum,noiseCheckDeg,targetKind,meanThreshold,sdThreshold,squaredNoiseContrast,meanSquaredThreshold,sdSquaredThreshold,meanEnergy,sdEnergy,energyAtUnitContrast,noisePowerSpectralDensity,meanNeq,sdNeq,meanEfficiency,sdEfficiency
0.5,0,0,0,hard,1,white,0.025471875,letter,0.0306324977851483,0.00715857042443884,0,0.000963972485817942,0.000438569785342902,0.000136415669261873,6.2063795041643e-05,0.141514069404297,0,0,0,0,0
0.5,0,0,0,hard,1,white,0.025471875,gabor,0.0624402356397167,0.00267662460412066,0,0.00390236518637904,0.000334258142000715,4.97088881593773e-05,4.25782821532708e-06,0.012738143609133,0,0,0,0,0
0.5,0,0,0,hard,1,white,0.05094375,letter,0.0204994116758317,0.00120680360210903,0,0.000420954066522256,4.94775277030193e-05,5.98440448945997e-05,7.03386812151569e-06,0.142162885820313,0,0,0,0,0
0.5,0,0,4,hard,1,white,0.05094375,letter,0.0481560883786927,0.00803019885350967,0,0.00235125089474992,0.000773405931376177,0.00033426061248524,0.000109949619114984,0.142162885820313,0,0,0,0,0
0.5,0,0,8,hard,1,white,0.05094375,letter,0.0877911324579736,0.0138059905846864,0,0.00780258562626569,0.00242408709626748,0.00110923808949002,0.000344615217085166,0.142162885820313,0,0,0,0,0
0.5,0.16,0.25471875,0,hard,1,white,0.05094375,letter,0.280022950848756,0.0192970186990739,0.0256,0.0785990404673811,0.0108072162373966,0.0111738664155504,0.00153638504799244,0.142162885820313,6.6438801e-05,3.6119444807265e-07,4.99309548720978e-08,0.0804863801171461,0.0111263111459549
0.5,0.16,16.582190625,0,hard,1,white,0.025471875,gabor,0.19583827606217,0.0201863520505504,0.0256,0.0385563747755572,0.0079065207711277,0.000491136638938601,0.000100714397031218,0.012738143609133,1.660970025e-05,1.92039052650795e-06,4.38148651960134e-07,0.0371757668089092,0.00848187485205262
0.5,0.16,Inf,0,soft,1,white,0.025471875,letter,0.103700412342011,0.00117036031723099,0.0256,0.0107544603915391,0.000242733694971159,0.00152190745425403,3.435023295691e-05,0.141514069404297,1.660970025e-05,1.63589564114406e-06,4.05584478920675e-08,0.142157576941707,0.0035244856284479
0.5,0.16,0.25471875,4,hard,1,white,0.05094375,letter,0.195426189844458,0.000131375863857872,0.0256,0.0381914043069309,5.13485690225399e-05,0.00542940024980361,7.29986075498802e-06,0.142162885820313,6.6438801e-05,4.35864346975223e-06,6.24467486166371e-09,0.181046035130201,0.000259386580303559
0.5,0.16,0.25471875,8,hard,1,white,0.05094375,letter,0.267866971385299,0.0110373679273334,0.0256,0.0718136261045143,0.00591309263752005,0.0102092323282387,0.000840622313472693,0.142162885820313,6.6438801e-05,8.13321777182543e-06,7.5131523822473e-07,0.110585494656,0.0102154607920974
1,0,0,0,hard,1,white,0.05094375,letter,0.023618846517117,0.000139905955781999,0,0.000557859697637361,6.60883459289111e-06,0.000315779983877254,3.74097230903963e-06,0.566056277617188,0,0,0,0,0
1,0,0,0,hard,1,white,0.05094375,gabor,0.0323271281276557,0.000635607056866287,0,0.00104524521114724,4.10947015323172e-05,5.32579344254084e-05,2.09388083877246e-06,0.0509525744365321,0,0,0,0,0
1,0,0,16,hard,1,white,0.05094375,letter,0.0769884202726879,0.003497904975701,0,0.00593333452569354,0.00053859635668639,0.00335860125547163,0.000304875848804077,0.566056277617188,0,0,0,0,0
1,0,0,16,hard,1,white,0.05094375,gabor,0.1707496942929,0.00962619402373327,0,0.0292017899068099,0.00328733937351318,0.0014879063739067,0.000167498404127073,0.0509525744365321,0,0,0,0,0
1,0.16,16.6076625,0,hard,1,white,0.05094375,gabor,0.200902782764924,0.02306850804649,0.0256,0.0406280061544356,0.00926905492154976,0.00207010150779176,0.000472282210846568,0.0509525744365321,6.6438801e-05,1.80387925309234e-06,4.22412572299156e-07,0.0345408951424976,0.00808840632855319
1,0.16,Inf,0,soft,1,white,0.05094375,letter,0.0906647145629079,0.0138203731521456,0.0256,0.00831559182380584,0.00250604037398432,0.00470709295396746,0.00141855988565595,0.566056277617188,6.6438801e-05,5.04062758115196e-06,1.62831302024148e-06,0.194934610663212,0.0629712391023482
1,0.16,16.6076625,16,hard,1,white,0.05094375,gabor,0.384863329730215,0.101846774146875,0.0256,0.153306165273091,0.0783941772408954,0.00781134379765643,0.00399438515125741,0.0509525744365321,6.6438801e-05,1.9529357067744e-05,1.23362925348193e-05,0.013893905971677,0.00877649417353196
1,0.16,Inf,16,soft,1,white,0.05094375,letter,0.164837437128741,0.00927383572154658,0.0256,0.0272143826936667,0.00305735062538541,0.0154048721652266,0.00173063251437625,0.566056277617188,6.6438801e-05,1.87168499214789e-05,2.68896401911244e-06,0.0700867270928279,0.0100690387624305
2,0,1,0,soft,1,pink,0.203775,letter,0.0186236646549885,5.32717890328641e-05,0,0.00034684230412322,1.98423186903871e-06,0.000788929646059574,4.51334605822679e-06,2.274606173125,0,0,0,0,0
2,0,1,32,soft,1,pink,0.203775,letter,0.0858615238447201,0.0024581779798672,0,0.00737522259642778,0.000422125814465866,0.0167757268460056,0.000960169983419476,2.274606173125,0,0,0,0,0
2,0,0,0,hard,0,white,0.203775,letter,0.0148786880592781,0.000949012803978559,0,0.000221825671016364,2.82401309493157e-05,0.000504566040651416,6.42351761871719e-05,2.274606173125,0,0,0,0,0
2,0,0,0,hard,1,white,0.1018875,gabor,0.0239680218033388,0.001261655707547,0,0.000575261956727517,6.04787830135865e-05,0.000117244310682656,1.23261987733225e-05,0.203810297746128,0,0,0,0,0
2,0,0,0,hard,1,white,0.203775,letter,0.0160972108360597,0.00379070353117928,0,0.000266304913331204,0.000122039507916777,0.000605738799796675,0.000277591818072639,2.274606173125,0,0,0,0,0
2,0,0,4,hard,1,white,0.203775,letter,0.0187621598247588,4.98484692046416e-05,0,0.000352019883724734,1.8705298924741e-06,0.000800706600583024,4.25471884043644e-06,2.274606173125,0,0,0,0,0
2,0,0,8,hard,1,white,0.203775,letter,0.0208190188617357,0.00290835174506144,0,0.00043766080130181,0.000121098059673992,0.000995505960375931,0.000275450394087923,2.274606173125,0,0,0,0,0
2,0,0,16,hard,1,white,0.1018875,letter,0.0462490073255281,0.00147586659263166,0,0.00214005976969637,0.000136514729708247,0.0048455770684505,0.000309100078954268,2.26422511046875,0,0,0,0,0
2,0,0,16,hard,1,white,0.1018875,gabor,0.0744617005665219,0,0,0.00554454485125837,0,0.00113003533700173,0,0.203810297746128,0,0,0,0,0
2,0,0,32,hard,0,white,0.203775,letter,0.0671322572492052,0.000524187947110827,0,0.00450687734987541,7.03798402247534e-05,0.0102513710415438,0.000160086419038776,2.274606173125,0,0,0,0,0
2,0,0,32,hard,1,white,0.1018875,gabor,0.318972113231493,0.0307429828378461,0,0.102215774516249,0.0196123084056546,0.0208326274385077,0.00399719041564536,0.203810297746128,0,0,0,0,0
2,0,0,32,hard,1,white,0.203775,letter,0.0798329780243753,0.000458921772363246,0,0.00637340968483696,7.32741835359651e-05,0.0144969970129848,0.000166669910201601,2.274606173125,0,0,0,0,0
2,0.16,1,0,soft,0,pink,0.203775,letter,0.110291402882919,0.0060793203439664,0.0256,0.0121826726178047,0.00134099353862145,0.0277107823416195,0.00305023218106909,2.274606173125,0.001063020816,1.98394559161017e-05,2.22430587997793e-06,0.177330671940418,0.0198814754782355
2,0.16,1,32,soft,0,pink,0.203775,letter,0.14710788698142,0.000331383644276394,0.0256,0.0216407853196981,9.74982953794047e-05,0.0492242638794581,0.000221770224539166,2.274606173125,0.001063020816,0.000279619921694962,1.59114113180709e-06,0.118120988072675,0.000672152261229661
2,0.16,1,32,soft,1,pink,0.203775,letter,0.143647866938305,0.00627618805313773,0.0256,0.0206544049441642,0.00180312205267381,0.0469806369882193,0.00410139255190968,2.274606173125,0.001063020816,0.000595892390163608,8.0913619648251e-05,0.153825171327704,0.0208872467757469
2,0.16,1.73205080756888,0,soft,0,pink,0.203775,letter,0.179041078004076,0.0193008711017993,0.0256,0.0322419694255058,0.00691129753696774,0.073337782688963,0.0157204800418904,2.274606173125,0.001063020816,7.53991422802871e-06,1.6274315016408e-06,0.131699911656091,0.0284263956472711
2,0.16,1.73205080756888,32,soft,0,pink,0.203775,letter,0.252136296056925,0.0357922195080543,0.0256,0.0642132532779617,0.0180490353088344,0.146059862302491,0.0410544471324259,2.274606173125,0.001063020816,8.40829732698713e-05,2.54179981589837e-05,0.0705611514053235,0.0213303971870717
2,0.16,3,0,soft,0,pink,0.203775,letter,0.230514160986734,0.0157755490122719,0.0256,0.053261212388737,0.00727297488933789,0.121148282487543,0.0165431535802711,2.274606173125,0.001063020816,4.48804717712165e-06,6.15419152470403e-07,0.106471833930655,0.0145998478210285
2,0.16,3,32,soft,0,pink,0.203775,letter,0.399453823343561,0.00117018028189358,0.0256,0.159564041644735,0.000934865975207282,0.362945354133889,0.00212645191825105,2.274606173125,0.001063020816,3.08982273619137e-05,1.86290659875237e-07,0.0339677787948774,0.000204797506733145
2,0.16,5.19615242270663,0,soft,0,pink,0.203775,letter,0.217247290812058,0.00493319276300148,0.0256,0.0472085535605975,0.00214344552563145,0.107380867353237,0.00487549442435844,2.274606173125,0.001063020816,5.02377860223301e-06,2.29175263960168e-07,0.134551229227616,0.00613797221491765
2,0.16,5.19615242270663,32,soft,0,pink,0.203775,letter,0.356931200669687,0.0451035846582562,0.0256,0.128417048686017,0.0321977532531566,0.292098211675708,0.0732372083103854,2.274606173125,0.001063020816,4.00152657769307e-05,1.03978683908841e-05,0.051283381550307,0.0133258605596218
2,0.16,9,0,soft,0,pink,0.203775,letter,0.246467836611857,0.0277838127856804,0.0256,0.0611323646105838,0.013695632460231,0.139052053920962,0.0311521701388926,2.274606173125,0.001063020816,3.97173746252633e-06,8.93038503062003e-07,0.104962538720402,0.0236006506826946
2,0.16,9,32,soft,0,pink,0.203775,letter,0.409595394202306,0.0118731207412501,0.0256,0.16783887244981,0.00972635114084784,0.381767335364678,0.0221236183469538,2.274606173125,0.001063020816,2.93844091071223e-05,1.7498291187059e-06,0.0364467348885138,0.0021703876282548
2,0.16,1.018875,0,hard,1,white,0.203775,letter,0.205666121164609,0.00469577238290274,0.0256,0.0423095785340316,0.001931522583727,0.0962376285158252,0.00439345319247577,2.274606173125,0.001063020816,8.79569879737147e-06,4.04861369709124e-07,0.168101921896184,0.00773764267257124
2,0.16,1.018875,0,hard,1,pink,0.203775,letter,0.220854785132323,0.0116304814745599,0.0256,0.0488782871903419,0.00501838687119813,0.111178853774928,0.0114148537563567,2.274606173125,0.001063020816,7.66480174821426e-06,8.72970617535811e-07,0.147946697517997,0.0168501579215352
2,0.16,1.6302,0,hard,1,pink,0.203775,letter,0.244833787646366,0.0242957337586702,0.0256,0.060238724912702,0.0118968330395658,0.137019375547611,0.0270606098724339,2.274606173125,0.001063020816,6.27999858326129e-06,1.2474494268622e-06,0.109873078139939,0.0218250221773257
2,0.16,3.056625,0,hard,1,pink,0.203775,letter,0.226334978379296,0.0326233442749292,0.0256,0.0517596637337969,0.0147676078422529,0.117732850647769,0.0335904919602776,2.274606173125,0.001063020816,7.47993849937242e-06,2.14850683878531e-06,0.131364443009955,0.0377325835237537
2,0.16,5.094375,0,hard,1,pink,0.203775,letter,0.231350409044097,0.0462144512574669,0.0256,0.0545908995173853,0.0213834644043269,0.124172797038691,0.0486389601368807,2.274606173125,0.001063020816,7.3696951620818e-06,2.90519592864428e-06,0.127568567855479,0.0502886043188833
2,0.16,8.9661,0,hard,1,pink,0.203775,letter,0.239935385437583,0.000923020269099267,0.0256,0.0575694151682902,0.000442930448066068,0.130947747124989,0.00100749233143608,2.274606173125,0.001063020816,6.44346481458284e-06,4.98755406226815e-08,0.109901799662948,0.000850693195559878
2,0.16,16.6076625,0,hard,1,white,0.1018875,gabor,0.276853656575626,0.0233728814307316,0.0256,0.0769210929524821,0.0129417353776132,0.015677310857603,0.00263765894066294,0.203810297746128,0.000265755204,2.03164178351092e-06,3.44393007468378e-07,0.0993387963253584,0.0168393794134599
2,0.16,Inf,0,soft,0,pink,0.203775,letter,0.236911093290346,0.0287738314462382,0.0256,0.0565408328120751,0.0136336797321608,0.128608127347975,0.0310112520811823,2.274606173125,0.001063020816,4.31334418392683e-06,1.04417240579095e-06,0.116791292682205,0.0282727832176821
2,0.16,Inf,0,soft,1,white,0.203775,letter,0.230499264109513,0.0120808259008796,0.0256,0.0532028839322508,0.00556924295997578,0.12101560822035,0.0126678344163939,2.274606173125,0.001063020816,7.01449953219331e-06,7.39091519797658e-07,0.12270992462252,0.0129294847433194
2,0.16,Inf,0,soft,1,pink,0.203775,letter,0.245731268362372,0.0341713474326433,0.0256,0.0609676967436613,0.0167939370925495,0.138677499374345,0.0381995929817859,2.274606173125,0.001063020816,6.32477873064068e-06,1.75216824488368e-06,0.109527059712922,0.0303425375270039
2,0.16,1.018875,4,hard,1,white,0.203775,letter,0.207714265844338,0.00816901674784502,0.0256,0.0431785826525657,0.00339364263289746,0.098214270648314,0.00771920048216874,2.274606173125,0.001063020816,8.76519142013749e-06,6.94567235046181e-07,0.145321520128685,0.0115155005282139
2,0.16,Inf,4,soft,1,white,0.203775,letter,0.255874149557498,0.0149128125824134,0.0256,0.0655827764013318,0.00763160647407074,0.149174988053146,0.017358899196782,2.274606173125,0.001063020816,5.77615700153493e-06,6.75775654330555e-07,0.0992928175953753,0.0116166629063248
2,0.16,1.018875,8,hard,1,white,0.203775,letter,0.216197125978818,0.00376614473244493,0.0256,0.0467482892045739,0.00162845933434972,0.106333947207757,0.0037041036545949,2.274606173125,0.001063020816,1.00523437327828e-05,3.53478964724768e-07,0.142775412043698,0.00502053114964339
2,0.16,16.6076625,16,hard,1,white,0.1018875,gabor,0.255655088231816,0.00025281387802989,0.0256,0.0653595560962462,0.00012926630858792,0.0133209505885307,2.63458048418465e-05,0.203810297746128,0.000265755204,2.46342023221256e-05,5.32370107922685e-08,0.0244448998947603,5.28279090386628e-05
2,0.16,Inf,16,soft,1,white,0.1018875,letter,0.138782327938414,0.00204637257512643,0.0256,0.0192626283683635,0.000568000699610745,0.0436149268452764,0.00128608144682247,2.26422511046875,0.000265755204,3.32336303830677e-05,1.10244705398095e-06,0.0917446089533604,0.00304341032542743
2,0.16,1.018875,32,hard,1,white,0.203775,letter,0.222835377182702,0.0494608711841973,0.0256,0.0508787942133068,0.0220432637722312,0.115729219398744,0.0501397438521398,2.274606173125,0.001063020816,0.000206757398904782,0.000104763993197061,0.168716871999306,0.085488854686669
